;Pays;Unite;Annee;PIB
267;ALB;USD_CAP;2019;13997,9462
268;ALB;USD_CAP;2020;13332,80564
269;SRB;USD_CAP;2017;16611,06565
270;SRB;USD_CAP;2018;17717,99357
271;SRB;USD_CAP;2019;18822,31698
272;SRB;USD_CAP;2020;19093,86642
273;GEO;USD_CAP;2017;13589,73038
274;GEO;USD_CAP;2018;14595,61388
275;GEO;USD_CAP;2019;15623,15294
276;GEO;USD_CAP;2020;14732,40413
